PROJECT_ID,FILE,RISK_TIER,P_FAIL_90,P_FAIL_180,P_FAIL_365,P_FAIL_730,COST_OF_BUG,COST_TO_REFACTOR,EXPECTED_LOSS,NET_SAVINGS,ROI_PERCENT,total_debt_minutes,bug_count,code_smell_count,commit_count,num_contributors
org.apache:httpcore,ReflectionSupport.java,HIGH,0.06392707967776834,0.19855828701417788,0.4089195152577699,0.6524253225037879,3516.875,56.25,1438.1188202221697,1381.8688202221697,2456.6556803949684,55.0,0.0,4.0,3,3
org.apache:collections,IteratorEnumerationTest.java,MEDIUM,0.061449105815971294,0.1914277135852468,0.3963502833530217,0.6374109075587024,3622.5,56.25,1435.778901446321,1379.528901446321,2452.4958247934596,10.0,0.0,1.0,10,7
org.apache:vfs,SyncTask.java,HIGH,0.07149635384447095,0.22006625655185286,0.4459081438856398,0.6947592623726817,3210.0,56.25,1431.365141872904,1375.115141872904,2444.649141107385,5.0,0.0,1.0,20,9
org.apache:collections,TransformedSortedSetTest.java,HIGH,0.06410648759499238,0.19907282902152856,0.4098205903816293,0.6534894356232729,3486.0,56.25,1428.6345780703598,1372.3845780703598,2439.794805458417,60.0,2.0,3.0,13,6
org.apache:vfs,TemporaryProviderTestCase.java,HIGH,0.07043046175319034,0.21706233918562123,0.44082515982928583,0.6891053875770825,3240.0,56.25,1428.273517846886,1372.023517846886,2439.1529206166865,20.0,0.0,1.0,32,10
org.apache:commons-io,ByteOrderMark.java,HIGH,0.06660329960818157,0.20620965383567136,0.422236730791808,0.6679852010338869,3380.0,56.25,1427.160150076311,1370.910150076311,2437.173600135664,90.0,0.0,1.0,23,5
org.apache:ognl,TestOgnlException.java,HIGH,0.07016545149696307,0.21631422431129044,0.43955507903463875,0.6876845173643726,3240.0,56.25,1424.1584560722295,1367.9084560722295,2431.837255239519,20.0,0.0,3.0,5,5
org.apache:vfs,JarProviderTestCase.java,HIGH,0.06850543443845247,0.21161663934389763,0.43154178725921655,0.6786447878917953,3298.0,56.25,1423.224814380896,1366.974814380896,2430.1774477882595,49.0,0.0,3.0,34,9
org.apache:collections,MapTransformer.java,HIGH,0.0668847881846737,0.2070114448632846,0.42362208496885045,0.6695832935872041,3350.0,56.25,1419.133984645649,1362.883984645649,2422.9048615922648,75.0,1.0,3.0,28,11
org.apache:commons-io,CloseShieldInputStreamTest.java,HIGH,0.07039996091815437,0.21697626189732033,0.44067911064710363,0.6889421644568803,3210.0,56.25,1414.5799451772027,1358.3299451772027,2414.808791426138,5.0,0.0,1.0,9,7
org.apache:commons-exec,InputStreamPumper.java,HIGH,0.07034034675717782,0.2168080038817657,0.44039355988052453,0.6886229113920543,3210.0,56.25,1413.6633272164838,1357.4133272164838,2413.1792483848603,5.0,0.0,1.0,9,6
org.apache:commons-io,BrokenInputStreamTest.java,HIGH,0.06690166095512684,0.20705948714419864,0.423705032451714,0.669678855761302,3332.0,56.25,1411.785168129111,1355.535168129111,2409.8402988961975,66.0,0.0,4.0,12,8
org.apache:ognl,ASTInstanceof.java,HIGH,0.06395116022343983,0.1986273635029735,0.4090405294940631,0.6525683280159453,3446.75,56.25,1409.860445033662,1353.610445033662,2406.4185689487326,22.0,0.0,2.0,15,8
org.apache:vfs,NestedZipTestCase.java,HIGH,0.06854216934638502,0.21172080648630653,0.4317201933416057,0.6788474568974302,3240.0,56.25,1398.7734264268024,1342.5234264268024,2386.708313647649,20.0,0.0,1.0,34,9
org.apache:collections,SortedBag.java,HIGH,0.06853649972647735,0.21170473008952084,0.4316926615644763,0.6788161850374645,3240.0,56.25,1398.6842234689032,1342.4342234689032,2386.5497306113834,20.0,0.0,1.0,25,10
org.apache:collections,ReferenceIdentityMap.java,HIGH,0.06445278125150855,0.20006534396990716,0.41155645208591196,0.6555347582142366,3390.0,56.25,1395.1763725712415,1338.9263725712415,2380.3135512377626,95.0,0.0,2.0,26,8
org.apache:commons-io,WriterOutputStreamTest.java,HIGH,0.06715120946684805,0.20776979474903456,0.4249306087300889,0.6710891996233395,3280.0,56.25,1393.7723966346916,1337.5223966346916,2377.8175940172296,40.0,0.0,4.0,16,7
org.apache:codec,HmacAlgorithms.java,MEDIUM,0.058700186679301325,0.1834655309674449,0.3821338553060669,0.6200443346098082,3622.5,56.25,1384.2798908462273,1328.0298908462273,2360.942028171071,10.0,0.0,1.0,13,3
org.apache:commons-exec,TestUtilTest.java,MEDIUM,0.06199050730040245,0.1929894250969827,0.39911625098395587,0.640742336958079,3463.428571428571,56.25,1382.3106269792893,1326.0606269792893,2357.4411146298476,72.0,0.0,7.0,6,4
org.apache:vfs,ZipProviderTestCase.java,HIGH,0.06649085139864608,0.20588919785190551,0.42168250038500654,0.667344776641072,3240.0,56.25,1366.2513012474212,1310.0013012474212,2328.891202217638,20.0,0.0,1.0,32,9
